dateTime,open,high,low,close,volume
1674187200000,21087.74000000,21127.22000000,21080.51000000,21123.72000000,2884.14480000
1674189000000,21123.72000000,21127.33000000,20972.24000000,20991.01000000,7030.57917000
1674190800000,20991.01000000,21037.78000000,20953.23000000,20981.81000000,5907.46686000
1674192600000,20982.11000000,21009.05000000,20954.00000000,20982.27000000,4204.39087000
1674194400000,20983.09000000,20996.74000000,20926.14000000,20982.30000000,5116.62285000
1674196200000,20982.30000000,20999.80000000,20933.91000000,20943.73000000,3692.99978000
1674198000000,20943.73000000,20977.41000000,20861.28000000,20975.21000000,5719.88411000
1674199800000,20975.21000000,20987.00000000,20947.66000000,20959.44000000,3919.34181000
1674201600000,20958.43000000,20976.35000000,20911.25000000,20930.92000000,4413.53925000
1674203400000,20930.23000000,20954.69000000,20898.79000000,20946.15000000,4428.32048000
1674205200000,20946.98000000,20949.00000000,20905.22000000,20942.42000000,3520.15592000
1674207000000,20942.42000000,20993.99000000,20939.76000000,20959.17000000,4792.91429000
1674208800000,20959.76000000,20969.80000000,20915.45000000,20921.20000000,4783.51380000
1674210600000,20920.79000000,20970.30000000,20915.41000000,20962.16000000,3721.38296000
1674212400000,20962.68000000,20984.00000000,20935.17000000,20955.23000000,3862.48166000
1674214200000,20955.71000000,20984.87000000,20950.01000000,20963.51000000,3770.55459000
1674216000000,20963.34000000,21051.00000000,20955.53000000,21048.73000000,5767.85703000
1674217800000,21049.53000000,21127.28000000,21036.79000000,21089.54000000,8068.04358000
1674219600000,21088.82000000,21147.00000000,21063.65000000,21067.01000000,7029.76498000
1674221400000,21067.01000000,21110.99000000,21041.41000000,21058.68000000,5962.05013000
1674223200000,21059.71000000,21100.00000000,21050.00000000,21080.62000000,5205.13328000
1674225000000,21080.62000000,21168.69000000,21013.73000000,21153.97000000,13609.31028000
1674226800000,21153.00000000,21247.55000000,21128.32000000,21168.53000000,11439.10987000
1674228600000,21168.53000000,21178.48000000,21105.99000000,21144.77000000,6637.30394000
1674230400000,21145.05000000,21226.32000000,21140.99000000,21219.32000000,5943.55759000
1674232200000,21218.12000000,21415.64000000,21214.07000000,21313.29000000,14653.94059000
1674234000000,21313.29000000,21410.00000000,21312.04000000,21324.92000000,7791.59907000
1674235800000,21323.42000000,21387.05000000,21279.90000000,21353.61000000,7800.16913000
1674237600000,21353.62000000,21437.30000000,21290.57000000,21323.25000000,10621.06651000
1674239400000,21323.25000000,21405.18000000,21306.60000000,21384.49000000,6276.35681000
1674241200000,21385.52000000,21428.64000000,21356.70000000,21385.93000000,5071.52625000
1674243000000,21385.13000000,21529.00000000,21363.20000000,21496.67000000,10603.78763000
1674244800000,21496.67000000,21997.99000000,21495.75000000,21874.31000000,16600.64727000
1674246600000,21874.32000000,22385.41000000,21837.61000000,22288.37000000,21649.93417000
1674248400000,22288.91000000,22448.00000000,22207.78000000,22285.87000000,13532.21733000
1674250200000,22285.87000000,22361.50000000,22261.47000000,22315.41000000,7052.48609000
1674252000000,22316.49000000,22729.99000000,22313.66000000,22568.83000000,14268.82450000
1674253800000,22568.06000000,22697.84000000,22517.40000000,22595.08000000,7909.80980000
1674255600000,22593.98000000,22755.93000000,22537.80000000,22650.41000000,9416.22061000
1674257400000,22650.44000000,22704.96000000,22590.00000000,22667.21000000,6258.79648000
1674259200000,22666.00000000,22792.86000000,22422.00000000,22594.02000000,14693.41388000
1674261000000,22593.25000000,22660.46000000,22562.81000000,22576.17000000,5779.02992000
1674262800000,22576.86000000,22618.78000000,22551.72000000,22579.46000000,5337.54274000
1674264600000,22580.03000000,22612.03000000,22560.31000000,22563.99000000,3780.54896000
1674266400000,22563.04000000,22623.21000000,22562.80000000,22621.26000000,3645.32270000
1674268200000,22621.79000000,22622.79000000,22508.33000000,22551.05000000,5487.76158000
1674270000000,22551.05000000,22570.38000000,22492.68000000,22558.57000000,4826.85643000
1674271800000,22557.73000000,22571.40000000,22533.17000000,22547.35000000,3139.44407000
1674273600000,22547.83000000,22619.48000000,22514.60000000,22615.99000000,4688.25139000
1674275400000,22615.02000000,22643.65000000,22581.51000000,22597.96000000,4111.38860000
1674277200000,22597.96000000,22621.39000000,22567.14000000,22617.64000000,3398.04128000
1674279000000,22616.86000000,22619.62000000,22562.84000000,22573.98000000,2875.10434000
1674280800000,22573.99000000,22612.65000000,22554.72000000,22603.88000000,3432.22919000
1674282600000,22603.88000000,22622.99000000,22584.74000000,22620.93000000,3872.58357000
1674284400000,22620.42000000,22653.65000000,22602.22000000,22635.50000000,3545.71691000
1674286200000,22634.61000000,22670.00000000,22600.74000000,22638.36000000,5080.89127000
1674288000000,22638.36000000,22767.00000000,22626.62000000,22674.21000000,7967.51627000
1674289800000,22673.32000000,22776.31000000,22666.70000000,22700.63000000,6358.23667000
1674291600000,22700.62000000,22764.57000000,22685.48000000,22731.59000000,5137.59927000
1674293400000,22730.83000000,23100.00000000,22727.37000000,23037.49000000,16297.66280000
1674295200000,23037.46000000,23335.77000000,22700.88000000,22792.23000000,30884.29742000
